,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,total,boxOffice,LogBoxOffice,boxLag,LogBoxLag,weekend,date,p,n,pred
0,0.025134649910233398,0.12926391382405747,0.02154398563734291,0.035906642728904856,0.11131059245960503,0.08078994614003591,0.2782764811490126,0.03411131059245961,0.14901256732495513,0.1346499102333932,1.0,56078520,17.842263409472178,0,-inf,1,2017-05-05,0.8025134649910235,0.1974865350089767,0.0
1,0.01808219178082192,0.16602739726027396,0.014794520547945207,0.025753424657534246,0.14191780821917807,0.049315068493150684,0.2734246575342466,0.017534246575342465,0.14849315068493152,0.14465753424657535,1.0,51304539,17.75328978575908,56078520,17.842263409472178,1,2017-05-06,0.8745205479452055,0.1254794520547945,30833354.02653475
2,0.01664025356576862,0.03328050713153724,0.0055467511885895415,0.3478605388272583,0.03328050713153724,0.35895404120443747,0.10459587955625992,0.01664025356576862,0.0554675118858954,0.0277337559429477,1.0,39127045,17.482324473829255,51304539,17.75328978575908,1,2017-05-07,0.25435816164817754,0.7456418383518225,46959661.36433226
3,0.004291845493562233,0.08941344778254652,0.018597997138769674,0.18311874105865528,0.10801144492131619,0.2074391988555079,0.22889842632331908,0.018597997138769674,0.03218884120171674,0.10944206008583694,1.0,9862655,16.104265960109096,39127045,17.482324473829255,0,2017-05-08,0.5679542203147354,0.4320457796852648,11318370.421447676
4,0.05139186295503212,0.11349036402569594,0.03854389721627409,0.09421841541755889,0.08137044967880086,0.15203426124197,0.2291220556745182,0.07708779443254818,0.08137044967880086,0.08137044967880086,1.0,12097479,16.308507641752257,9862655,16.104265960109096,0,2017-05-09,0.5867237687366167,0.41327623126338325,6174209.656207705
5,0.07364787111622556,0.08170310701956274,0.01841196777905639,0.07825086306098968,0.12773302646720372,0.11277330264672039,0.3026467203682394,0.029919447640966636,0.09321058688147299,0.08170310701956274,1.0,7527728,15.834103827819877,12097479,16.308507641752257,0,2017-05-10,0.6869965477560416,0.31300345224395865,6258507.556105821
6,0.035019455252918275,0.0885214007782101,0.022373540856031122,0.13715953307392992,0.10408560311284044,0.169260700389105,0.24027237354085598,0.029182879377431897,0.08657587548638129,0.0875486381322957,1.0,7159453,15.78394413937041,7527728,15.834103827819877,0,2017-05-11,0.6070038910505836,0.3929961089494162,5415600.842312858
7,0.029181494661921704,0.11672597864768681,0.01779359430604982,0.07615658362989323,0.08042704626334518,0.09964412811387899,0.2775800711743772,0.028469750889679714,0.1473309608540925,0.12669039145907474,1.0,16490524,16.618296470865353,7159453,15.78394413937041,1,2017-05-12,0.7487544483985764,0.2512455516014234,13973988.906742785
8,0.03680501174628034,0.09631949882537197,0.031323414252153486,0.06734534064212999,0.1158966327329679,0.10415035238841035,0.29835552075176197,0.03054032889584965,0.139389193422083,0.07987470634299139,1.0,27879884,17.143415983159276,16490524,16.618296470865353,1,2017-05-13,0.7298355520751763,0.27016444792482386,20281759.42460871
9,0.04520795660036167,0.08047016274864377,0.0244122965641953,0.0433996383363472,0.15822784810126583,0.0732368896925859,0.3083182640144666,0.040687160940325505,0.1139240506329114,0.11211573236889694,1.0,20893084,16.854928753081637,27879884,17.143415983159276,1,2017-05-14,0.7730560578661846,0.22694394213381558,24615693.659431648
10,0.07115628970775095,0.096569250317662,0.025412960609911054,0.05717916137229987,0.10800508259212198,0.09783989834815757,0.2604828462515883,0.05717916137229987,0.1156289707750953,0.11054637865311309,1.0,4701588,15.363410881954707,20893084,16.854928753081637,0,2017-05-15,0.6912325285895807,0.30876747141041927,7890079.293498948
11,0.029522828698935803,0.09989701338825953,0.03055269481634054,0.03364229316855475,0.15036045314109164,0.047717130106419495,0.3432887058015791,0.03158256093374528,0.11362856162032269,0.11980775832475112,1.0,5946795,15.598362976932655,4701588,15.363410881954707,0,2017-05-16,0.8269824922760041,0.17301750772399588,3759326.43191178
12,0.02530364372469636,0.10323886639676115,0.02024291497975709,0.06477732793522269,0.12348178137651823,0.08805668016194333,0.28542510121457493,0.046558704453441305,0.13157894736842107,0.11133603238866399,1.0,3971856,15.19474404971358,5946795,15.598362976932655,0,2017-05-17,0.7550607287449392,0.24493927125506076,4386019.628201817
13,0.04361873990306948,0.1593968766828218,0.02800215401184707,0.04523424878836834,0.1103931071620894,0.06785137318255252,0.301023155627356,0.03284868066774368,0.10177705977382877,0.10985460420032313,1.0,3696324,15.122849370239257,3971856,15.19474404971358,0,2017-05-18,0.7824448034464191,0.2175551965535811,3613660.4917517533
14,0.044982698961937725,0.15051903114186851,0.02941176470588236,0.03633217993079585,0.08477508650519032,0.06920415224913495,0.32871972318339104,0.03200692041522492,0.12370242214532873,0.10034602076124569,1.0,8717079,15.980794762703592,3696324,15.122849370239257,1,2017-05-19,0.7880622837370241,0.2119377162629758,10216814.48901616
15,0.021892655367231638,0.17937853107344634,0.01977401129943503,0.033192090395480225,0.12217514124293785,0.05649717514124294,0.326271186440678,0.033192090395480225,0.09251412429378532,0.11511299435028248,1.0,14951137,16.520297908420755,8717079,15.980794762703592,1,2017-05-20,0.83545197740113,0.16454802259887005,14262423.332678922
16,0.04042348411934552,0.1289701636188643,0.02213666987487969,0.04042348411934552,0.11645813282001924,0.07314725697786333,0.3195380173243503,0.04523580365736284,0.09720885466794994,0.11645813282001924,1.0,10985538,16.212090238477764,14951137,16.520297908420755,1,2017-05-21,0.778633301251203,0.22136669874879691,18755760.804481305
17,0.026243849097867682,0.14871514488791687,0.019136139967195185,0.036085292509568066,0.14215418261344995,0.07162383816293055,0.2963367960634226,0.029524330235101145,0.09950792782941496,0.13067249863313285,1.0,3597323,15.095700515699347,10985538,16.212090238477764,0,2017-05-22,0.8173865500273372,0.18261344997266263,5452211.972133441
18,0.034918723660445516,0.09151113786875377,0.013847080072245636,0.032510535821794105,0.16676700782661047,0.058398555087296806,0.2931968693558098,0.06682721252257677,0.10535821794099941,0.1366646598434678,1.0,3388947,15.036029811635387,3597323,15.095700515699347,0,2017-05-23,0.7934978928356412,0.20650210716435885,3434881.848525009
19,0.03139612558450233,0.09686038744154976,0.02004008016032064,0.028056112224448895,0.1783567134268537,0.05744822979291917,0.3066132264529058,0.08216432865731463,0.09352037408149631,0.10554442217768871,1.0,2534650,14.745566118414143,3388947,15.036029811635387,0,2017-05-24,0.7808951235804942,0.21910487641950566,3379297.835753775
20,0.02524630541871921,0.1293103448275862,0.01354679802955665,0.02463054187192118,0.13054187192118225,0.04064039408866995,0.34174876847290636,0.020935960591133004,0.11884236453201968,0.15455665024630538,1.0,2403779,14.692552640294931,2534650,14.745566118414143,0,2017-05-25,0.8749999999999999,0.125,2782128.9484238117
